sample_id,buy_quantity,sell_time
0,1.0,23
1,1.0,23
2,1.0,23
3,1.0,23
4,1.0,23
5,1.0,23
6,1.0,23
7,1.0,23
8,1.0,23
9,1.0,23
10,1.0,23
11,1.0,23
12,1.0,23
13,1.0,23
14,1.0,23
15,1.0,23
16,1.0,23
17,1.0,23
18,1.0,23
19,1.0,23
20,1.0,23
21,1.0,23
22,1.0,23
23,1.0,23
24,1.0,23
25,1.0,23
26,1.0,23
27,1.0,23
28,1.0,23
29,1.0,23
30,1.0,23
31,1.0,23
32,1.0,23
33,1.0,23
34,1.0,23
35,1.0,23
36,1.0,23
37,1.0,23
38,1.0,23
39,1.0,23
40,1.0,23
41,1.0,23
42,1.0,23
43,1.0,23
44,1.0,23
45,1.0,23
46,1.0,23
47,1.0,23
48,1.0,23
49,1.0,23
50,1.0,23
51,1.0,23
52,1.0,23
53,1.0,23
54,1.0,23
55,1.0,23
56,1.0,23
57,1.0,23
58,1.0,23
59,1.0,23
60,1.0,23
61,1.0,23
62,1.0,23
63,1.0,23
64,1.0,23
65,1.0,23
66,1.0,23
67,1.0,23
68,1.0,23
69,1.0,23
70,1.0,23
71,1.0,23
72,1.0,23
73,1.0,23
74,1.0,23
75,1.0,23
76,1.0,23
77,1.0,23
78,1.0,23
79,1.0,23
80,1.0,23
81,1.0,23
82,1.0,23
83,1.0,23
84,1.0,23
85,1.0,23
86,1.0,23
87,1.0,23
88,1.0,23
89,1.0,23
90,1.0,23
91,1.0,23
92,1.0,23
93,1.0,23
94,1.0,23
95,1.0,23
96,1.0,23
97,1.0,23
98,1.0,23
99,1.0,23
100,1.0,23
101,1.0,23
102,1.0,23
103,1.0,23
104,1.0,23
105,1.0,23
106,1.0,23
107,1.0,23
108,1.0,23
109,1.0,23
110,1.0,23
111,1.0,23
112,1.0,23
113,1.0,23
114,1.0,23
115,1.0,23
116,1.0,23
117,1.0,23
118,1.0,23
119,1.0,23
120,1.0,23
121,1.0,23
122,1.0,23
123,1.0,23
124,1.0,23
125,1.0,23
126,1.0,23
127,1.0,23
128,1.0,23
129,1.0,23
130,1.0,23
131,1.0,23
132,1.0,23
133,1.0,23
134,1.0,23
135,1.0,23
136,1.0,23
137,1.0,23
138,1.0,23
139,1.0,23
140,1.0,23
141,1.0,23
142,1.0,23
143,1.0,23
144,1.0,23
145,1.0,23
146,1.0,23
147,1.0,23
148,1.0,23
149,1.0,23
150,1.0,23
151,1.0,23
152,1.0,23
153,1.0,23
154,1.0,23
155,1.0,23
156,1.0,23
157,1.0,23
158,1.0,23
159,1.0,23
160,1.0,23
161,1.0,23
162,1.0,23
163,1.0,23
164,1.0,23
165,1.0,23
166,1.0,23
167,1.0,23
168,1.0,23
169,1.0,23
170,1.0,23
171,1.0,23
172,1.0,23
173,1.0,23
174,1.0,23
175,1.0,23
176,1.0,23
177,1.0,23
178,1.0,23
179,1.0,23
180,1.0,23
181,1.0,23
182,1.0,23
183,1.0,23
184,1.0,23
185,1.0,23
186,1.0,23
187,1.0,23
188,1.0,23
189,1.0,23
190,1.0,23
191,1.0,23
192,1.0,23
193,1.0,23
194,1.0,23
195,1.0,23
196,1.0,23
197,1.0,23
198,1.0,23
199,1.0,23
200,1.0,23
201,1.0,23
202,1.0,23
203,1.0,23
204,1.0,23
205,1.0,23
206,1.0,23
207,1.0,23
208,1.0,23
209,1.0,23
210,1.0,23
211,1.0,23
212,1.0,23
213,1.0,23
214,1.0,23
215,1.0,23
216,1.0,23
217,1.0,23
218,1.0,23
219,1.0,23
220,1.0,23
221,1.0,23
222,1.0,23
223,1.0,23
224,1.0,23
225,1.0,23
226,1.0,23
227,1.0,23
228,1.0,23
229,1.0,23
230,1.0,23
231,1.0,23
232,1.0,23
233,1.0,23
234,1.0,23
235,1.0,23
236,1.0,23
237,1.0,23
238,1.0,23
239,1.0,23
240,1.0,23
241,1.0,23
242,1.0,23
243,1.0,23
244,1.0,23
245,1.0,23
246,1.0,23
247,1.0,23
248,1.0,23
249,1.0,23
250,1.0,23
251,1.0,23
252,1.0,23
253,1.0,23
254,1.0,23
255,1.0,23
256,1.0,23
257,1.0,23
258,1.0,23
259,1.0,23
260,1.0,23
261,1.0,23
262,1.0,23
263,1.0,23
264,1.0,23
265,1.0,23
266,1.0,23
267,1.0,23
268,1.0,23
269,1.0,23
270,1.0,23
271,1.0,23
272,1.0,23
273,1.0,23
274,1.0,23
275,1.0,23
276,1.0,23
277,1.0,23
278,1.0,23
279,1.0,23
280,1.0,23
281,1.0,23
282,1.0,23
283,1.0,23
284,1.0,23
285,1.0,23
286,1.0,23
287,1.0,23
288,1.0,23
289,1.0,23
290,1.0,23
291,1.0,23
292,1.0,23
293,1.0,23
294,1.0,23
295,1.0,23
296,1.0,23
297,1.0,23
298,1.0,23
299,1.0,23
300,1.0,23
301,1.0,23
302,1.0,23
303,1.0,23
304,1.0,23
305,1.0,23
306,1.0,23
307,1.0,23
308,1.0,23
309,1.0,23
310,1.0,23
311,1.0,23
312,1.0,23
313,1.0,23
314,1.0,23
315,1.0,23
316,1.0,23
317,1.0,23
318,1.0,23
319,1.0,23
320,1.0,23
321,1.0,23
322,1.0,23
323,1.0,23
324,1.0,23
325,1.0,23
326,1.0,23
327,1.0,23
328,1.0,23
329,1.0,23
330,1.0,23
331,1.0,23
332,1.0,23
333,1.0,23
334,1.0,23
335,1.0,23
336,1.0,23
337,1.0,23
338,1.0,23
339,1.0,23
340,1.0,23
341,1.0,23
342,1.0,23
343,1.0,23
344,1.0,23
345,1.0,23
346,1.0,23
347,1.0,23
348,1.0,23
349,1.0,23
350,1.0,23
351,1.0,23
352,1.0,23
353,1.0,23
354,1.0,23
355,1.0,23
356,1.0,23
357,1.0,23
358,1.0,23
359,1.0,23
360,1.0,23
361,1.0,23
362,1.0,23
363,1.0,23
364,1.0,23
365,1.0,23
366,1.0,23
367,1.0,23
368,1.0,23
369,1.0,23
370,1.0,23
371,1.0,23
372,1.0,23
373,1.0,23
374,1.0,23
375,1.0,23
376,1.0,23
377,1.0,23
378,1.0,23
379,1.0,23
380,1.0,23
381,1.0,23
382,1.0,23
383,1.0,23
384,1.0,23
385,1.0,23
386,1.0,23
387,1.0,23
388,1.0,23
389,1.0,23
390,1.0,23
391,1.0,23
392,1.0,23
393,1.0,23
394,1.0,23
395,1.0,23
396,1.0,23
397,1.0,23
398,1.0,23
399,1.0,23
400,1.0,23
401,1.0,23
402,1.0,23
403,1.0,23
404,1.0,23
405,1.0,23
406,1.0,23
407,1.0,23
408,1.0,23
409,1.0,23
410,1.0,23
411,1.0,23
412,1.0,23
413,1.0,23
414,1.0,23
415,1.0,23
416,1.0,23
417,1.0,23
418,1.0,23
419,1.0,23
420,1.0,23
421,1.0,23
422,1.0,23
423,1.0,23
424,1.0,23
425,1.0,23
426,1.0,23
427,1.0,23
428,1.0,23
429,1.0,23
430,1.0,23
431,1.0,23
432,1.0,23
433,1.0,23
434,1.0,23
435,1.0,23
436,1.0,23
437,1.0,23
438,1.0,23
439,1.0,23
440,1.0,23
441,1.0,23
442,1.0,23
443,1.0,23
444,1.0,23
445,1.0,23
446,1.0,23
447,1.0,23
448,1.0,23
449,1.0,23
450,1.0,23
451,1.0,23
452,1.0,23
453,1.0,23
454,1.0,23
455,1.0,23
456,1.0,23
457,1.0,23
458,1.0,23
459,1.0,23
460,1.0,23
461,1.0,23
462,1.0,23
463,1.0,23
464,1.0,23
465,1.0,23
466,1.0,23
467,1.0,23
468,1.0,23
469,1.0,23
470,1.0,23
471,1.0,23
472,1.0,23
473,1.0,23
474,1.0,23
475,1.0,23
476,1.0,23
477,1.0,23
478,1.0,23
479,1.0,23
480,1.0,23
481,1.0,23
482,1.0,23
483,1.0,23
484,1.0,23
485,1.0,23
486,1.0,23
487,1.0,23
488,1.0,23
489,1.0,23
490,1.0,23
491,1.0,23
492,1.0,23
493,1.0,23
494,1.0,23
495,1.0,23
496,1.0,23
497,1.0,23
498,1.0,23
499,1.0,23
500,1.0,23
501,1.0,23
502,1.0,23
503,1.0,23
504,1.0,23
505,1.0,23
506,1.0,23
507,1.0,23
508,1.0,23
509,1.0,23
510,1.0,23
511,1.0,23
512,1.0,23
513,1.0,23
514,1.0,23
515,1.0,23
516,1.0,23
517,1.0,23
518,1.0,23
519,1.0,23
520,1.0,23
521,1.0,23
522,1.0,23
523,1.0,23
524,1.0,23
525,1.0,23
526,1.0,23
527,1.0,23
528,0.1144247568992239,57
